date,indicator_name,indicator_value,region,frequency,caliber
2011-06-01,工业增加值_当月同比_mom_yoy,15.1,全国,monthly,mom_yoy
2011-07-01,固定资产投资（不含农户）_累计同比_ytd_yoy,25.4,全国,monthly,ytd_yoy
2011-07-01,房地产开发投资_累计值,31873.03,全国,monthly,cum_level
2011-07-01,社会消费品零售总额_累计值,100240.7,全国,monthly,cum_level
2011-07-01,工业增加值_当月同比_mom_yoy,14.0,全国,monthly,mom_yoy
2011-08-01,固定资产投资（不含农户）_累计同比_ytd_yoy,25.0,全国,monthly,ytd_yoy
2011-08-01,房地产开发投资_累计值,37780.84,全国,monthly,cum_level
2011-08-01,社会消费品零售总额_累计值,114945.7,全国,monthly,cum_level
2011-08-01,工业增加值_当月同比_mom_yoy,13.5,全国,monthly,mom_yoy
2011-09-01,固定资产投资（不含农户）_累计同比_ytd_yoy,24.9,全国,monthly,ytd_yoy
2011-09-01,房地产开发投资_累计值,44224.84,全国,monthly,cum_level
2011-09-01,社会消费品零售总额_累计值,130810.8,全国,monthly,cum_level
2011-09-01,工业增加值_当月同比_mom_yoy,13.8,全国,monthly,mom_yoy
2011-10-01,固定资产投资（不含农户）_累计同比_ytd_yoy,24.9,全国,monthly,ytd_yoy
2011-10-01,房地产开发投资_累计值,49922.82,全国,monthly,cum_level
2011-10-01,社会消费品零售总额_累计值,147357.2,全国,monthly,cum_level
2011-10-01,工业增加值_当月同比_mom_yoy,13.2,全国,monthly,mom_yoy
2011-11-01,固定资产投资（不含农户）_累计同比_ytd_yoy,24.5,全国,monthly,ytd_yoy
2011-11-01,房地产开发投资_累计值,55483.03,全国,monthly,cum_level
2011-11-01,社会消费品零售总额_累计值,163486.1,全国,monthly,cum_level
2011-11-01,工业增加值_当月同比_mom_yoy,12.4,全国,monthly,mom_yoy
2011-12-01,固定资产投资（不含农户）_累计同比_ytd_yoy,23.8,全国,monthly,ytd_yoy
2011-12-01,房地产开发投资_累计值,61739.78,全国,monthly,cum_level
2011-12-01,社会消费品零售总额_累计值,181225.8,全国,monthly,cum_level
2011-12-01,工业增加值_当月同比_mom_yoy,12.8,全国,monthly,mom_yoy
2012-03-01,固定资产投资（不含农户）_累计同比_ytd_yoy,21.5,全国,monthly,ytd_yoy
2012-03-01,房地产开发投资_累计值,5431.46,全国,monthly,cum_level
2012-03-01,社会消费品零售总额_累计值,33668.6,全国,monthly,cum_level
2012-03-01,工业增加值_当月同比_mom_yoy,21.3,全国,monthly,mom_yoy
2012-04-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.9,全国,monthly,ytd_yoy
2012-04-01,房地产开发投资_累计值,10927.17,全国,monthly,cum_level
2012-04-01,社会消费品零售总额_累计值,49318.8,全国,monthly,cum_level
2012-04-01,工业增加值_当月同比_mom_yoy,11.9,全国,monthly,mom_yoy
2012-05-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.2,全国,monthly,ytd_yoy
2012-05-01,房地产开发投资_累计值,15835.19,全国,monthly,cum_level
2012-05-01,社会消费品零售总额_累计值,64921.9,全国,monthly,cum_level
2012-05-01,工业增加值_当月同比_mom_yoy,9.3,全国,monthly,mom_yoy
2012-06-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.1,全国,monthly,ytd_yoy
2012-06-01,房地产开发投资_累计值,22212.93,全国,monthly,cum_level
2012-06-01,社会消费品零售总额_累计值,81636.7,全国,monthly,cum_level
2012-06-01,工业增加值_当月同比_mom_yoy,9.6,全国,monthly,mom_yoy
2012-07-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.4,全国,monthly,ytd_yoy
2012-07-01,房地产开发投资_累计值,30609.83,全国,monthly,cum_level
2012-07-01,社会消费品零售总额_累计值,98221.6,全国,monthly,cum_level
2012-07-01,工业增加值_当月同比_mom_yoy,9.5,全国,monthly,mom_yoy
2012-08-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.4,全国,monthly,ytd_yoy
2012-08-01,房地产开发投资_累计值,36774.48,全国,monthly,cum_level
2012-08-01,社会消费品零售总额_累计值,114536.5,全国,monthly,cum_level
2012-08-01,工业增加值_当月同比_mom_yoy,9.2,全国,monthly,mom_yoy
2012-09-01,固定资产投资（不含农户）_累计同比_ytd_yoy,20.2,全国,monthly,ytd_yoy
2012-09-01,房地产开发投资_累计值,43687.88,全国,monthly,cum_level
2012-09-01,社会消费品零售总额_累计值,131195.4,全国,monthly,cum_level
